slug,estado,detalle
apagon-global-internet-7-dias,error,"Sin éxito tras 4 intentos: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash
Please retry in 26.277989517s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.7-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 20
}
, retry_delay {
  seconds: 26
}
]"
mundo-gobernado-por-ia,error,"Sin éxito tras 4 intentos: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash
Please retry in 44.492905217s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.7-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 20
}
, retry_delay {
  seconds: 44
}
]"
fin-de-las-contrasenas-biometria,error,"Sin éxito tras 4 intentos: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash
Please retry in 37.640690807s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.7-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 20
}
, retry_delay {
  seconds: 37
}
]"
apagon-global-internet-7-dias,ok,
mundo-gobernado-por-ia,ok,
fin-de-las-contrasenas-biometria,ok,
conciencia-en-la-nube-2050,ok,
colapso-financiero-virus-digital,ok,
robots-con-derechos-laborales,ok,
realidad-virtual-indistinguible,ok,
gps-caido-caos-logistico,ok,
silencio-movil-sin-smartphones,ok,
nanobots-medicos-privacidad,ok,
codigo-autonomo-programacion-ia,ok,
borrado-social-psicologia-global,ok,
trafico-aereo-urbano-autos-voladores,ok,
chip-cerebral-obligatorio-sociedad,ok,
error-matrix-pruebas-simulacion,ok,
guerra-drones-sin-humanos,ok,
ciudades-inteligentes-control,ok,
