id,slug,titulo,focus_keyword,score_inicial,score_final,estado,detalle
945,oxigeno-doble-insectos-gigantes,Oxígeno al doble: El crecimiento monstruoso de los insectos modernos,oxigeno al doble insectos,59,84,ok,Puntuacion 84 guardada
950,penalizacion-del-ahorro-multas,Penalización del ahorro: Multas por guardar dinero bajo el colchón en lugar de invertirlo,penalizacion del ahorro economia,59,84,ok,Puntuacion 84 guardada
946,pagar-por-luz-solar-corporaciones,Pagar por luz solar: Corporaciones bloqueando el sol para vender iluminación diurna,pagar por luz solar iluminacion,59,84,ok,Puntuacion 84 guardada
943,olfato-sabueso-infierno-sensorial,Olfato de sabueso: El infierno sensorial de tener un olfato amplificado mil veces,humano olfato de sabueso,59,84,ok,Puntuacion 84 guardada
940,nucleo-tierra-se-enfria,El motor apagado: Qué pasaría si el núcleo de la Tierra se enfría,nucleo de la tierra se enfria,59,84,ok,Puntuacion 84 guardada
942,olas-de-gravedad-terrestre,Olas de gravedad: Cuando el peso de las cosas cambia por segundos,fluctuaciones de gravedad,59,84,ok,Puntuacion 84 guardada
941,oceanos-agua-dulce-extincion,Océanos de agua dulce: La extinción masiva de la vida marina actual,oceanos de agua dulce,59,84,ok,Puntuacion 84 guardada
944,oro-sin-valor-asteroide,Oro sin valor: El día que un asteroide de oro macizo arruinó la economía,oro sin valor economia,59,84,ok,Puntuacion 84 guardada
939,noche-eterna-cometa-gigante,Un cometa gigante bloquea el sol: El invierno de polvo cósmico,cometa gigante bloquea sol,59,84,ok,Puntuacion 84 guardada
933,multas-segun-ingresos,Multas según ingresos: Billetes de tráfico que cuestan un millón de dólares,multas segun ingresos,59,84,ok,Puntuacion 84 guardada
936,musica-sintetica-ia-grammy,Música sintética: El año en que una IA ganó todos los premios Grammy,musica generada por inteligencia artificial,59,84,ok,Puntuacion 84 guardada
938,nanobots-medicos-privacidad,Nanobots médicos: El fin de las enfermedades a cambio de privacidad interna,nanobots medicos privacidad,59,84,ok,Puntuacion 84 guardada
937,mutacion-ocular-vision-infrarroja,Mutación ocular: Visión humana con el espectro infrarrojo de las serpientes,vision infrarroja humana,59,84,ok,Puntuacion 84 guardada
932,muerte-termica-universo-simulacion,El fin de todo: Qué pasaría si el universo sufriera su muerte térmica,muerte termica del universo,59,84,ok,Puntuacion 84 guardada
931,monopolio-corporativo-unico-omnicorp,Monopolio corporativo único: Una sola empresa controlando todos los productos del mundo,monopolio corporativo mundial,59,84,ok,Puntuacion 84 guardada
928,micro-agujero-negro-tierra,El rayo invisible: Un micro-agujero negro atravesando la Tierra a la velocidad de la luz,micro agujero negro,59,84,ok,Puntuacion 84 guardada
930,moneda-global-unica-soberania,Moneda Global Única: La pérdida de la soberanía económica de los países,moneda global unica,59,84,ok,Puntuacion 84 guardada
929,mineria-asteroides-desplome-economia,Minería de asteroides robótica: La caída libre del precio de los metales preciosos,mineria de asteroides,59,84,ok,Puntuacion 84 guardada
926,meteorito-antimateria-impacto,El gramo de la aniquilación: Un meteorito de antimateria chocando en el desierto,meteorito de antimateria,59,84,ok,Puntuacion 84 guardada
925,mercados-predictivos-extremos,Mercados predictivos extremos: Invertir en la fecha de muerte de celebridades,mercados predictivos economia,59,84,ok,Puntuacion 84 guardada
923,mercado-negro-recuerdos-digitales,Memoria expandida: El mercado negro de recuerdos digitales implantados,recuerdos digitales implantados,59,92,ok,Puntuacion 92 guardada
924,mercado-sueno-vender-descanso,El mercado del sueño: Vender tus horas de descanso para que otros trabajen por ti,mercado del sueno economia,59,84,ok,Puntuacion 84 guardada
927,meteorito-diamante-oceano,Impacto de diamante: El meteorito indestructible que no se desintegró en la atmósfera,meteorito de diamante,59,84,ok,Puntuacion 84 guardada
920,mascotas-roboticas-reemplazo,Mascotas robóticas: El reemplazo emocional de los animales de compañía,mascotas roboticas,59,84,ok,Puntuacion 84 guardada
921,materia-espejo-universo-paralelo,El reflejo invisible: Mundos enteros hechos de materia espejo,materia espejo universo paralelo,59,84,ok,Puntuacion 84 guardada
918,luz-de-estrellas-muertas-realidad,El cementerio cósmico: La luz de estrellas que ya no existen,luz de estrellas muertas,59,84,ok,Puntuacion 84 guardada
922,medicion-estres-impuestos,Medición del estrés ciudadano: Impuestos calculados según tu salud mental,medicion del estres impuestos,59,84,ok,Puntuacion 84 guardada
919,marea-roja-lunar-eclipse,El eclipse de sangre: La simulación de efectos gravitacionales extraños durante la luna roja,eclipse lunar sangre gravedad,59,84,ok,Puntuacion 84 guardada
917,luna-shatter-fragmentos,Cielo en pedazos: Si la Luna explotara y se convirtiera en un anillo de escombros,luna se destruye,59,84,ok,Puntuacion 84 guardada
916,lluvia-de-diamantes-en-neptuno,Tormentas de gemas: La simulación de una lluvia de diamantes en Neptuno,lluvia de diamantes neptuno,59,84,ok,Puntuacion 84 guardada
915,jupiter-reemplaza-luna,Júpiter en nuestro cielo: El caos si reemplazara a la Luna,jupiter en lugar de la luna,59,84,ok,Puntuacion 84 guardada
914,jueces-ia-sistema-legal,Jueces de Inteligencia Artificial: La erradicación de los jurados humanos,jueces inteligencia artificial,59,84,ok,Puntuacion 84 guardada
913,inversion-polos-magneticos-tierra,Brújulas locas: El día que los Polos Magnéticos se invirtieron en 24 horas,inversion polos magneticos,59,84,ok,Puntuacion 84 guardada
912,inversion-genetica-ninos-prodigio,Inversión genética: Comprar acciones sobre el futuro éxito de niños prodigio,inversion en ninos prodigio,59,84,ok,Puntuacion 84 guardada
909,interfaces-hapticas-dolor-internet,Interfaces hápticas totales: Sentir dolor físico a través del internet,interfaces hapticas dolor,59,84,ok,Puntuacion 84 guardada
908,intercambio-de-vidas-mercado,Intercambio de vidas: El mercado de venta de identidades completas y estatus social,venta de identidades sociales,59,84,ok,Puntuacion 84 guardada
911,invernacion-inversa-estivacion,Invernación inversa: Dormir en verano para sobrevivir al calor extremo,estivacion humana verano,59,84,ok,Puntuacion 84 guardada
910,internet-cuantico-encriptacion,Internet Cuántico: La caída de todos los sistemas de encriptación actuales,internet cuantico encriptacion,59,84,ok,Puntuacion 84 guardada
906,inmunidad-absoluta-fin-enfermedades,Inmunidad absoluta: El impacto poblacional si los virus dejaran de afectarnos,inmunidad absoluta humanos,59,84,ok,Puntuacion 84 guardada
907,inteligencia-chimpances-segunda-especie,Inteligencia en chimpancés: La aparición de la segunda especie pensante,chimpances inteligentes especie pensante,59,84,ok,Puntuacion 84 guardada
905,inmortalidad-biologica-estancamiento,Inmortalidad biológica: El estancamiento evolutivo de la especie humana,inmortalidad biologica humana,59,84,ok,Puntuacion 84 guardada
903,impuesto-belleza-fisica-genetica,Impuestos por belleza física: El intento extremo de nivelar las ventajas genéticas,impuesto a la belleza fisica,59,84,ok,Puntuacion 84 guardada
904,impuesto-carbono-personal-cuotas,Impuesto al carbono personal: Cuotas anuales de emisión para cada ciudadano,impuesto al carbono personal,59,92,ok,Puntuacion 92 guardada
902,impresion-3d-organos-humanos,Impresión 3D biológica: El colapso del sistema de salud tradicional,impresion 3d organos,59,84,ok,Puntuacion 84 guardada
899,huracanes-categoria-6-diarios,Clima extremo permanente: Sobreviviendo a huracanes diarios de categoría 6,huracanes diarios supervivencia,59,84,ok,Puntuacion 84 guardada
901,ilegalizacion-interes-prestamos,Ilegalización del interés: El colapso del sistema de préstamos e hipotecas,ilegalizacion del interes bancos,59,84,ok,Puntuacion 84 guardada
898,hologramas-fisicos-viajes,Hologramas físicos: La tecnología que reemplazará a los viajes de negocios,hologramas fisicos tecnología,59,84,ok,Puntuacion 84 guardada
900,ia-bloqueando-comunicaciones,El Gran Filtro: La IA bloqueando las comunicaciones humanas por seguridad,ia bloqueando comunicaciones,59,84,ok,Puntuacion 84 guardada
894,hibernacion-humana-metamorfosis,Invierno Humano: La metamorfosis del cuerpo si entráramos en hibernación profunda,hibernacion humana,59,84,ok,Puntuacion 84 guardada
893,herencias-prohibidas-reset-generacional,Herencias prohibidas: El impacto de comenzar desde cero en cada generación,herencias prohibidas economia,59,84,ok,Puntuacion 84 guardada
892,guerra-drones-sin-humanos,Guerra de Drones: El primer conflicto mundial sin un solo soldado humano,guerra de drones ia,59,84,ok,Puntuacion 84 guardada
896,hibridos-hombre-maquina-biologia,Híbridos hombre-máquina: El punto exacto donde termina la biología pura,hibridos hombre maquina,59,84,ok,Puntuacion 84 guardada
891,gravedad-negativa-energia-oscura,La gran separación: Cuando la energía oscura aparte todos los átomos,energia oscura big rip,59,84,ok,Puntuacion 84 guardada
884,fuga-de-fotones-oscuridad-total,El desvanecimiento: Cuando los fotones abandonen el universo,fuga de fotones oscuridad,59,84,ok,Puntuacion 84 guardada
887,gigantismo-aracnidos-mutacion,Gigantismo de los arácnidos: Arañas del tamaño de lobos por mutación urbana,aranas gigantes mutacion,59,84,ok,Puntuacion 84 guardada
885,fusion-simbiotica-hongos-piel,Fusión simbiótica: Humanos que requieren de hongos en la piel para sobrevivir,simbiosis humanos hongos,59,84,ok,Puntuacion 84 guardada
889,gravedad-cero-musculos-humanos,Cuerpo de cristal: La atrofia total de vivir en ingravidez permanente,gravedad cero musculos salud,59,84,ok,Puntuacion 84 guardada
886,gigantes-rojas-absorben-sistema,El festín estelar: Cuando el Sol devore los planetas internos,gigantes rojas absorben planetas,59,84,ok,Puntuacion 84 guardada
879,fin-patentes-investigacion-medica,Fin de las patentes: El estallido de la innovación y el caos en la investigación médica,fin de las patentes economia,59,84,ok,Puntuacion 84 guardada
883,fotosintesis-inversa-absorber-oscuridad,Fotosíntesis inversa: Organismos que absorben oscuridad y emiten luz pura,fotosintesis inversa organismos,59,84,ok,Puntuacion 84 guardada
880,fin-propiedad-privada-suscripcion,"El fin de la propiedad privada: No tendrás nada y serás feliz, la simulación real",fin de la propiedad privada,59,92,ok,Puntuacion 92 guardada
882,flora-bioluminiscente-ciudades-arboles,Flora bioluminiscente: Ciudades iluminadas únicamente por árboles genéticamente alterados,arboles bioluminiscentes ciudades,59,84,ok,Puntuacion 84 guardada
881,fin-subsidios-agricolas-precios,Fin de los subsidios agrícolas: El precio real y aterrador de una simple manzana,fin de los subsidios agricolas,59,84,ok,Puntuacion 84 guardada
876,fin-del-viaje-espacial-gravedad,La cárcel de gravedad: Por qué nunca podremos salir de la Tierra si cruzamos el límite de combustible,carcel de gravedad cohetes,59,84,ok,Puntuacion 84 guardada
