slug,estado,detalle
apagon-global-internet-7-dias,ok,789
colapso-financiero-virus-digital,ok,790
conciencia-en-la-nube-2050,ok,791
fin-de-las-contrasenas-biometria,ok,792
mundo-gobernado-por-ia,ok,793
abismos-secos-fosa-marianas,ok,799
adaptacion-alta-presion-marina,ok,800
agricultura-robotica-fin-hambruna,ok,801
agujero-negro-tamano-moneda,ok,802
alas-humanas-biomecanica-vuelo,ok,803
algoritmos-pareja-fin-divorcios,ok,804
anillos-de-hielo-cometas-impacto,ok,805
anillos-de-saturno-tierra,ok,806
anomalia-magnetica-del-atlantico-espacio,ok,807
arboles-caminantes-adaptacion-botanica,ok,808
arquitectura-dinamica-ciudades,ok,809
arte-sin-artistas-museos-ia,ok,810
asteroide-roza-tierra-luna,ok,811
atencion-medica-privada-latido,ok,812
atmosfera-escapa-al-espacio,ok,813
bacterias-devoran-plastico-evolucion,ok,814
bebes-diseno-genetico-clases,ok,815
biologia-herbivora-mutacion,ok,816
borrado-memoria-traumas,ok,817
borrado-social-psicologia-global,ok,818
bosques-gigantes-crecimiento-instantaneo,ok,819
boton-de-apagado-ia-global,ok,820
brote-rayos-gamma-impacto,ok,821
burbuja-agua-dulce-bolsa,ok,822
carceles-virtuales-cadenas-perpetuas,ok,823
ceguera-digital-pantallas-oculares,ok,824
ceguera-global-adaptacion-ciudades,ok,825
cero-impuestos-pais-privado,ok,826
cero-publicidad-colapso-medios,ok,827
chip-cerebral-obligatorio-sociedad,ok,828
choque-estelar-fuga-sistema,ok,829
ciberataque-red-electrica-europea,ok,830
cielo-sin-contaminacion-luminica,ok,831
ciudades-inteligentes-control,ok,832
clonacion-voz-estafas,ok,833
codigo-autonomo-programacion-ia,ok,834
colision-andromeda-via-lactea,ok,835
cometa-halley-impacto-tierra,ok,836
comida-sintetica-impresa-supermercados,ok,837
comunicacion-telepatica-fauna,ok,838
consumo-racionado-por-ia,ok,839
control-clima-satelite-guerra,ok,840
crecimiento-ilimitado-humanos,ok,841
criptomonedas-obligatorias-exclusiones,ok,842
curacion-acelerada-nanotecnologia,ok,843
deepfakes-evidencia-legal,ok,844
desaparicion-comercio-minorista,ok,845
desaparicion-fronteras-economicas,ok,846
desaparicion-plancton-asfixia,ok,847
desempleo-global-automatizacion,ok,848
desierto-global-secado-amazonas,ok,849
deuda-perdonada-jubileo-mundial,ok,850
digestion-metales-dieta-chatarra,ok,851
dinero-genetico-monedas-adn,ok,852
dinero-reputacion-social,ok,853
dispositivos-invisibilidad-seguridad,ok,854
economia-del-tiempo-moneda,ok,855
economia-subterranea-legalizada,ok,856
ecosistemas-subterraneos-migracion,ok,857
educacion-superior-exclusiva,ok,858
efectivo-caducable-mensual,ok,859
el-ultimo-arbol-original-protegido,ok,860
elecciones-ia-algoritmo-voto,ok,861
eliminacion-clases-medias,ok,862
enana-blanca-reemplaza-sol,ok,863
energia-gratuita-quiebra-industrias,ok,864
error-matrix-pruebas-simulacion,ok,865
escaneres-adn-citas-romanticas,ok,866
espejo-cosmico-copia-tierra,ok,867
esperanza-vida-200-anos,ok,868
estado-control-total-empresas,ok,869
estrellas-de-neutrones-cuchillo-atomo,ok,870
estrellas-fugaces-mortales,ok,871
evolucion-branquias-humanas,ok,872
expropiacion-billonarios-limite-riqueza,ok,873
extincion-perros-impacto-psicologico,ok,874
fin-bancos-fisicos-boveda-personal,ok,875
fin-del-viaje-espacial-gravedad,ok,876
fin-escasez-artificial-diamantes,ok,877
fin-intermediarios-bienes-raices,ok,878
